month,day,hour,precipitation_mm,water_input_m3
2,14,18,0.11,24224
2,14,19,0.12,27200
2,14,20,0.07,16586
2,14,21,0.08,17318
2,14,22,0.07,16002
2,14,23,0.1,23516
2,15,0,0.08,17704
2,15,1,0.05,10620
2,15,2,0.03,7134
2,15,3,0.03,5893
2,15,4,0.01,2125
2,15,5,0.0,1074
2,15,6,0.03,7317
2,15,7,0.07,16441
2,15,8,0.13,29021
2,15,9,0.2,44261
2,15,10,0.17,38094
2,15,11,0.14,30742
2,15,12,0.12,27506
2,15,13,0.09,19646
2,15,14,0.08,18357
2,15,15,0.05,11402
2,15,16,0.04,7910
2,15,17,0.03,5823
2,15,18,0.11,23837
2,15,19,0.15,33718
2,15,20,0.15,33926
2,15,21,0.02,5352
2,15,22,0.08,17712
2,15,23,0.08,18717
2,16,0,0.11,24767
2,16,1,0.04,8611
2,16,2,0.04,8946
2,16,3,0.01,2857
2,16,4,0.01,1637
2,16,5,0.01,1434
2,16,6,0.02,5541
2,16,7,0.07,16359
2,16,8,0.17,37780
2,16,9,0.23,52314
2,16,10,0.18,40247
2,16,11,0.15,33862
2,16,12,0.17,37256
2,16,13,0.08,19115
2,16,14,0.07,16295
2,16,15,0.07,14693
2,16,16,0.04,9902
2,16,17,0.07,15090
2,16,18,0.1,22491
2,16,19,0.1,22163
2,16,20,0.17,38239
2,16,21,0.06,13836
2,16,22,0.06,12517
2,16,23,0.07,15737
2,17,0,0.08,19083
2,17,1,0.06,12593
2,17,2,0.04,8381
2,17,3,0.02,4288
2,17,4,0.01,2722
2,17,5,0.0,1080
2,17,6,0.02,5463
2,17,7,0.09,19255
2,17,8,0.18,40258
2,17,9,0.14,32261
2,17,10,0.2,44581
2,17,11,0.16,36470
2,17,12,0.1,21542
2,17,13,0.12,26064
2,17,14,0.07,14933
2,17,15,0.05,12002
2,17,16,0.03,7422
2,17,17,0.05,11682
2,17,18,0.06,14079
2,17,19,0.09,19859
2,17,20,0.17,37975
2,17,21,0.07,15288
2,17,22,0.04,8752
2,17,23,0.04,8953
2,18,0,0.07,16296
2,18,1,0.03,7787
2,18,2,0.05,10942
2,18,3,0.02,4858
2,18,4,0.01,1606
2,18,5,0.01,1516
2,18,6,0.03,7246
2,18,7,0.06,14255
2,18,8,0.05,11641
2,18,9,0.33,73204
2,18,10,0.11,25313
2,18,11,0.08,18266
2,18,12,0.13,29222
2,18,13,0.14,31223
2,18,14,0.09,20885
2,18,15,0.06,13277
2,18,16,0.04,8911
2,18,17,0.06,14119
2,18,18,0.1,23074
2,18,19,0.15,33212
2,18,20,0.12,27859
2,18,21,0.08,19091
2,18,22,0.04,9443
2,18,23,0.08,18033
2,19,0,0.05,11186
2,19,1,0.05,11350
2,19,2,0.03,5840
2,19,3,0.01,2809
2,19,4,0.01,2027
2,19,5,0.01,1307
2,19,6,0.03,7154
2,19,7,0.04,9424
2,19,8,0.1,23353
2,19,9,0.26,57493
2,19,10,0.13,29261
2,19,11,0.13,29288
2,19,12,0.12,26473
2,19,13,0.07,14699
2,19,14,0.07,15924
2,19,15,0.03,7756
2,19,16,0.03,6591
2,19,17,0.06,12567
2,19,18,0.05,11670
2,19,19,0.15,34448
2,19,20,0.12,27018
2,19,21,0.1,22073
2,19,22,0.05,12288
2,19,23,0.12,26008
2,20,0,0.09,20001
2,20,1,0.05,10387
2,20,2,0.04,7995
2,20,3,0.02,4406
2,20,4,0.01,1963
2,20,5,0.0,980
2,20,6,0.02,4797
2,20,7,0.06,12944
2,20,8,0.09,20150
2,20,9,0.3,66905
2,20,10,0.12,26726
2,20,11,0.11,25655
2,20,12,0.08,19093
2,20,13,0.11,23733
2,20,14,0.06,14371
2,20,15,0.07,15266
2,20,16,0.03,6451
2,20,17,0.06,12448
2,20,18,0.07,15344
2,20,19,0.21,47672
2,20,20,0.08,19090
2,20,21,0.09,20896
2,20,22,0.06,13480
2,20,23,0.1,21400
2,21,0,0.08,18496
2,21,1,0.05,11259
2,21,2,0.03,7843
2,21,3,0.02,3736
2,21,4,0.01,2407
2,21,5,0.01,1506
2,21,6,0.02,5007
2,21,7,0.05,10202
2,21,8,0.13,30346
2,21,9,0.34,76564
2,21,10,0.14,30995
2,21,11,0.19,43746
2,21,12,0.15,33034
2,21,13,0.07,16710
2,21,14,0.08,17722
2,21,15,0.07,16374
2,21,16,0.03,7022
2,21,17,0.05,11044
2,21,18,0.07,16574
2,21,19,0.1,23158
2,21,20,0.1,22744
2,21,21,0.06,13460
2,21,22,0.05,11736
2,21,23,0.07,15661
2,22,0,0.09,20528
2,22,1,0.03,7110
2,22,2,0.04,8399
2,22,3,0.02,4687
2,22,4,0.0,973
2,22,5,0.0,1060
2,22,6,0.03,7604
2,22,7,0.05,10823
2,22,8,0.2,44006
2,22,9,0.23,51422
2,22,10,0.14,31952
2,22,11,0.14,30598
2,22,12,0.12,26521
2,22,13,0.09,19763
2,22,14,0.08,17605
2,22,15,0.04,8958
2,22,16,0.04,8086
2,22,17,0.03,7524
2,22,18,0.08,18855
2,22,19,0.11,24018
2,22,20,0.1,22159
2,22,21,0.11,25387
2,22,22,0.07,14811
2,22,23,0.1,22347
2,23,0,0.06,14098
2,23,1,0.05,10716
2,23,2,0.04,10110
2,23,3,0.02,4016
2,23,4,0.01,3064
2,23,5,0.0,1065
2,23,6,0.03,6098
2,23,7,0.06,14316
2,23,8,0.14,32066
2,23,9,0.2,44772
2,23,10,0.2,45655
2,23,11,0.17,38452
2,23,12,0.08,18700
2,23,13,0.06,12940
2,23,14,0.04,8393
2,23,15,0.06,13114
2,23,16,0.02,5618
2,23,17,0.02,5373
2,23,18,0.09,21278
2,23,19,0.22,50370
2,23,20,0.12,27110
2,23,21,0.1,23459
2,23,22,0.05,11874
2,23,23,0.08,18915
2,24,0,0.11,23850
2,24,1,0.05,10792
2,24,2,0.04,8276
2,24,3,0.02,4191
2,24,4,0.01,1615
2,24,5,0.01,1210
2,24,6,0.02,5564
2,24,7,0.06,12584
2,24,8,0.16,35193
2,24,9,0.16,36091
2,24,10,0.17,39061
2,24,11,0.14,30960
2,24,12,0.13,29591
2,24,13,0.1,21696
2,24,14,0.07,15418
2,24,15,0.06,14015
2,24,16,0.05,10454
2,24,17,0.06,13259
2,24,18,0.09,19444
2,24,19,0.09,20854
2,24,20,0.09,19922
2,24,21,0.08,17914
2,24,22,0.04,9863
2,24,23,0.08,18488
2,25,0,0.09,19669
2,25,1,0.06,13177
2,25,2,0.03,7621
2,25,3,0.02,4351
2,25,4,0.01,1971
2,25,5,0.0,491
2,25,6,0.02,4452
2,25,7,0.07,14956
2,25,8,0.1,21646
2,25,9,0.24,53527
2,25,10,0.24,53632
2,25,11,0.18,40485
2,25,12,0.1,22031
2,25,13,0.12,26622
2,25,14,0.07,16092
2,25,15,0.05,10656
2,25,16,0.03,6568
2,25,17,0.05,10757
2,25,18,0.08,17512
2,25,19,0.14,32353
2,25,20,0.13,28242
2,25,21,0.09,19409
2,25,22,0.06,12908
2,25,23,0.11,25167
2,26,0,0.11,23998
2,26,1,0.03,7317
2,26,2,0.01,2805
2,26,3,0.02,4785
2,26,4,0.01,1277
2,26,5,0.0,915
2,26,6,0.02,4116
2,26,7,0.04,8526
2,26,8,0.16,35231
2,26,9,0.25,55380
2,26,10,0.15,33198
2,26,11,0.05,10930
2,26,12,0.09,20095
2,26,13,0.09,21294
2,26,14,0.04,9779
2,26,15,0.05,12170
2,26,16,0.03,7728
2,26,17,0.06,13322
2,26,18,0.09,19974
2,26,19,0.1,23482
2,26,20,0.16,35274
2,26,21,0.08,18625
2,26,22,0.05,11557
2,26,23,0.07,14869
2,27,0,0.08,17245
2,27,1,0.04,9062
2,27,2,0.03,7422
2,27,3,0.02,5539
2,27,4,0.01,1274
2,27,5,0.0,579
2,27,6,0.04,7958
2,27,7,0.07,14703
2,27,8,0.11,25840
2,27,9,0.26,58647
2,27,10,0.15,32915
2,27,11,0.2,45196
2,27,12,0.12,27217
2,27,13,0.08,17028
2,27,14,0.11,23883
2,27,15,0.04,9874
2,27,16,0.04,9197
2,27,17,0.06,12507
2,27,18,0.11,25706
2,27,19,0.19,43144
2,27,20,0.12,27369
2,27,21,0.07,15741
2,27,22,0.06,12975
2,27,23,0.07,16108
2,28,0,0.13,29156
2,28,1,0.05,12034
2,28,2,0.03,7049
2,28,3,0.02,4058
2,28,4,0.01,1286
2,28,5,0.0,734
2,28,6,0.03,7564
2,28,7,0.06,12967
2,28,8,0.1,22909
2,28,9,0.23,52790
2,28,10,0.22,50286
2,28,11,0.16,36608
2,28,12,0.13,29068
2,28,13,0.07,15725
2,28,14,0.04,10000
2,28,15,0.07,16004
2,28,16,0.03,7132
2,28,17,0.05,10907
2,28,18,0.11,25834
2,28,19,0.16,35346
2,28,20,0.13,30246
2,28,21,0.13,29891
2,28,22,0.04,9764
2,28,23,0.11,23893
3,1,0,0.07,15980
3,1,1,0.04,10088
3,1,2,0.04,8710
3,1,3,0.02,3551
3,1,4,0.01,1788
3,1,5,0.0,999
3,1,6,0.02,4295
3,1,7,0.04,9960
3,1,8,0.08,18624
3,1,9,0.09,19225
3,1,10,0.21,47710
3,1,11,0.08,18256
3,1,12,0.08,17861
3,1,13,0.07,14665
3,1,14,0.06,13573
3,1,15,0.05,11381
3,1,16,0.03,7658
3,1,17,0.04,8075
3,1,18,0.07,15097
3,1,19,0.12,26990
3,1,20,0.09,20687
3,1,21,0.1,22087
3,1,22,0.05,10614
3,1,23,0.08,18650
3,2,0,0.08,18367
3,2,1,0.05,12227
3,2,2,0.03,6587
3,2,3,0.01,2130
3,2,4,0.01,1733
3,2,5,0.0,660
3,2,6,0.02,4102
3,2,7,0.06,14452
3,2,8,0.15,33013
3,2,9,0.17,38015
3,2,10,0.15,33944
3,2,11,0.16,35937
3,2,12,0.09,20045
3,2,13,0.12,26004
3,2,14,0.06,14387
3,2,15,0.02,5292
3,2,16,0.03,7489
3,2,17,0.05,10354
3,2,18,0.09,20836
3,2,19,0.13,29452
3,2,20,0.09,21294
3,2,21,0.05,10933
3,2,22,0.04,8959
3,2,23,0.06,12406
3,3,0,0.06,13469
3,3,1,0.05,10844
3,3,2,0.04,8933
3,3,3,0.02,3462
3,3,4,0.0,1105
3,3,5,0.0,875
3,3,6,0.03,6141
3,3,7,0.05,10683
3,3,8,0.11,24365
3,3,9,0.17,37953
3,3,10,0.11,25328
3,3,11,0.13,29295
3,3,12,0.08,18335
3,3,13,0.08,17408
3,3,14,0.04,9808
3,3,15,0.04,8420
3,3,16,0.03,7440
3,3,17,0.04,8572
3,3,18,0.1,22558
3,3,19,0.1,22691
3,3,20,0.1,23297
3,3,21,0.09,19429
3,3,22,0.03,6101
3,3,23,0.04,8820
3,4,0,0.04,9746
3,4,1,0.06,12437
3,4,2,0.02,5433
3,4,3,0.02,5166
3,4,4,0.01,1353
3,4,5,0.0,824
3,4,6,0.03,6549
3,4,7,0.08,18926
3,4,8,0.17,38201
3,4,9,0.22,49237
3,4,10,0.18,39579
3,4,11,0.13,28943
3,4,12,0.1,22586
3,4,13,0.06,13585
3,4,14,0.04,10026
3,4,15,0.04,9445
3,4,16,0.03,6034
3,4,17,0.04,8382
3,4,18,0.08,18499
3,4,19,0.14,31230
3,4,20,0.1,22546
3,4,21,0.1,21576
3,4,22,0.03,6755
3,4,23,0.07,14993
3,5,0,0.06,12932
3,5,1,0.02,5042
3,5,2,0.03,6172
3,5,3,0.01,3055
3,5,4,0.01,2172
3,5,5,0.0,912
3,5,6,0.02,3516
3,5,7,0.08,18447
3,5,8,0.15,32904
3,5,9,0.19,43317
3,5,10,0.13,29727
3,5,11,0.09,19162
3,5,12,0.08,17148
3,5,13,0.09,20044
3,5,14,0.08,18543
3,5,15,0.06,13101
3,5,16,0.02,5532
3,5,17,0.03,6807
3,5,18,0.07,16311
3,5,19,0.06,14064
3,5,20,0.11,23840
3,5,21,0.07,15174
3,5,22,0.04,8352
3,5,23,0.04,9474
3,6,0,0.08,17779
3,6,1,0.04,8194
3,6,2,0.02,4459
3,6,3,0.0,888
3,6,4,0.01,1565
3,6,5,0.01,1137
3,6,6,0.03,6690
3,6,7,0.05,11164
3,6,8,0.1,21414
3,6,9,0.19,42245
3,6,10,0.11,23646
3,6,11,0.12,27111
3,6,12,0.1,22528
3,6,13,0.09,20589
3,6,14,0.05,12289
3,6,15,0.04,8972
3,6,16,0.02,4919
3,6,17,0.03,7499
3,6,18,0.07,14864
3,6,19,0.12,27524
3,6,20,0.12,27096
3,6,21,0.06,12592
3,6,22,0.06,12981
3,6,23,0.07,14688
3,7,0,0.07,15672
3,7,1,0.03,7687
3,7,2,0.01,2483
3,7,3,0.02,3848
3,7,4,0.01,1866
3,7,5,0.0,732
3,7,6,0.02,4806
3,7,7,0.06,14230
3,7,8,0.07,15362
3,7,9,0.15,32812
3,7,10,0.17,37769
3,7,11,0.08,17304
3,7,12,0.09,20294
3,7,13,0.05,10412
3,7,14,0.06,14074
3,7,15,0.04,9369
3,7,16,0.02,3758
3,7,17,0.05,12206
3,7,18,0.06,12862
3,7,19,0.09,20103
3,7,20,0.1,23164
3,7,21,0.09,20280
3,7,22,0.03,7053
3,7,23,0.07,15999
3,8,0,0.08,17445
3,8,1,0.05,11091
3,8,2,0.03,6580
3,8,3,0.01,2862
3,8,4,0.01,1250
3,8,5,0.0,805
3,8,6,0.02,3460
3,8,7,0.02,3399
3,8,8,0.12,27960
3,8,9,0.21,46359
3,8,10,0.06,12897
3,8,11,0.08,18846
3,8,12,0.1,21833
3,8,13,0.11,23860
3,8,14,0.06,12670
3,8,15,0.03,7733
3,8,16,0.03,6014
3,8,17,0.06,12703
3,8,18,0.06,13211
3,8,19,0.09,20172
3,8,20,0.09,19396
3,8,21,0.05,12001
3,8,22,0.04,9743
3,8,23,0.1,22155
3,9,0,0.08,17028
3,9,1,0.04,8857
3,9,2,0.03,5843
3,9,3,0.01,1920
3,9,4,0.01,1923
3,9,5,0.0,772
3,9,6,0.02,4513
3,9,7,0.1,22667
3,9,8,0.12,27092
3,9,9,0.14,30707
3,9,10,0.13,28153
3,9,11,0.14,32447
3,9,12,0.09,19442
3,9,13,0.04,10090
3,9,14,0.07,15501
3,9,15,0.03,7874
3,9,16,0.04,9254
3,9,17,0.05,12006
3,9,18,0.06,13994
3,9,19,0.15,33282
3,9,20,0.1,22432
3,9,21,0.08,19115
3,9,22,0.05,10599
3,9,23,0.06,12422
3,10,0,0.06,13221
3,10,1,0.05,11888
3,10,2,0.03,5775
3,10,3,0.01,2833
3,10,4,0.01,1199
3,10,5,0.0,871
3,10,6,0.03,7164
3,10,7,0.04,9241
3,10,8,0.11,25362
3,10,9,0.23,51164
3,10,10,0.14,30884
3,10,11,0.12,28060
3,10,12,0.06,13885
3,10,13,0.08,17443
3,10,14,0.05,12015
3,10,15,0.05,11783
3,10,16,0.04,8173
3,10,17,0.07,15573
3,10,18,0.08,18039
3,10,19,0.12,27262
3,10,20,0.1,23130
3,10,21,0.06,14365
3,10,22,0.05,10253
3,10,23,0.06,14592
3,11,0,0.07,16419
3,11,1,0.06,12567
3,11,2,0.02,4716
3,11,3,0.02,4049
3,11,4,0.01,2094
3,11,5,0.0,765
3,11,6,0.01,2219
3,11,7,0.05,10689
3,11,8,0.15,33383
3,11,9,0.17,37598
3,11,10,0.11,23639
3,11,11,0.1,22028
3,11,12,0.1,22880
3,11,13,0.08,17909
3,11,14,0.05,11852
3,11,15,0.04,8586
3,11,16,0.03,5685
3,11,17,0.03,7273
3,11,18,0.1,22119
3,11,19,0.1,23178
3,11,20,0.13,28770
3,11,21,0.1,21748
3,11,22,0.05,11813
3,11,23,0.06,14056
3,12,0,0.08,17346
3,12,1,0.04,9396
3,12,2,0.02,4878
3,12,3,0.02,3407
3,12,4,0.0,1111
3,12,5,0.0,1022
3,12,6,0.02,4178
3,12,7,0.06,13238
3,12,8,0.12,26994
3,12,9,0.16,35366
3,12,10,0.16,36133
3,12,11,0.1,22216
3,12,12,0.1,23025
3,12,13,0.05,10454
3,12,14,0.06,13003
3,12,15,0.06,14036
3,12,16,0.02,4726
3,12,17,0.03,7852
3,12,18,0.08,17780
3,12,19,0.12,26341
3,12,20,0.11,23992
3,12,21,0.08,17683
3,12,22,0.05,10953
3,12,23,0.09,20127
3,13,0,0.08,17370
3,13,1,0.04,8883
3,13,2,0.03,7362
3,13,3,0.02,4648
3,13,4,0.01,1523
3,13,5,0.0,596
3,13,6,0.03,6035
3,13,7,0.05,12225
3,13,8,0.05,11516
3,13,9,0.2,45825
3,13,10,0.12,27294
3,13,11,0.11,24639
3,13,12,0.09,20476
3,13,13,0.07,16506
3,13,14,0.07,14840
3,13,15,0.04,8424
3,13,16,0.03,7111
3,13,17,0.04,8840
3,13,18,0.08,18666
3,13,19,0.13,29087
3,13,20,0.08,16900
3,13,21,0.09,20033
3,13,22,0.04,8187
3,13,23,0.08,18939
3,14,0,0.08,17202
3,14,1,0.06,13798
3,14,2,0.03,5950
3,14,3,0.01,2876
3,14,4,0.01,1568
3,14,5,0.0,728
3,14,6,0.03,5672
3,14,7,0.03,7511
3,14,8,0.08,18569
3,14,9,0.12,27719
3,14,10,0.17,38998
3,14,11,0.16,35990
3,14,12,0.08,18413
3,14,13,0.07,15091
3,14,14,0.06,12825
3,14,15,0.05,12199
3,14,16,0.02,4841
3,14,17,0.04,10017
3,14,18,0.09,19597
3,14,19,0.13,28367
3,14,20,0.1,23103
3,14,21,0.09,19699
3,14,22,0.01,3065
3,14,23,0.08,18426
3,15,0,0.06,13179
3,15,1,0.02,5127
3,15,2,0.03,7108
3,15,3,0.02,4233
3,15,4,0.01,1521
3,15,5,0.0,975
3,15,6,0.03,6632
3,15,7,0.07,16748
3,15,8,0.16,35545
3,15,9,0.2,44829
3,15,10,0.14,32106
3,15,11,0.07,15113
3,15,12,0.08,17744
3,15,13,0.06,12434
3,15,14,0.09,19446
3,15,15,0.04,9038
3,15,16,0.03,6496
3,15,17,0.05,10757
3,15,18,0.07,15927
3,15,19,0.16,35892
3,15,20,0.08,18624
3,15,21,0.07,16522
3,15,22,0.03,7699
3,15,23,0.05,10556
3,16,0,0.06,13346
3,16,1,0.04,9366
3,16,2,0.03,5626
3,16,3,0.01,2606
3,16,4,0.0,1022
3,16,5,0.0,771
3,16,6,0.01,2949
3,16,7,0.07,15000
3,16,8,0.11,25729
3,16,9,0.11,24035
3,16,10,0.13,29076
3,16,11,0.09,20469
3,16,12,0.09,20415
3,16,13,0.09,21036
3,16,14,0.03,6696
3,16,15,0.04,9725
3,16,16,0.03,6050
3,16,17,0.05,11040
3,16,18,0.07,16595
3,16,19,0.09,20470
3,16,20,0.09,20299
3,16,21,0.06,12620
3,16,22,0.05,11996
3,16,23,0.07,15840
3,17,0,0.1,23244
3,17,1,0.04,9310
3,17,2,0.02,5186
3,17,3,0.01,1959
3,17,4,0.0,865
3,17,5,0.0,476
3,17,6,0.02,5042
3,17,7,0.06,14208
3,17,8,0.07,15244
3,17,9,0.21,46275
3,17,10,0.12,27706
3,17,11,0.12,26134
3,17,12,0.12,26527
3,17,13,0.09,19288
3,17,14,0.05,11758
3,17,15,0.03,7347
3,17,16,0.01,2912
3,17,17,0.03,7754
3,17,18,0.07,14924
3,17,19,0.08,18988
3,17,20,0.09,21334
3,17,21,0.07,16058
3,17,22,0.04,8922
3,17,23,0.06,13195
3,18,0,0.07,16420
3,18,1,0.05,10498
3,18,2,0.02,4584
3,18,3,0.02,4263
3,18,4,0.01,1537
3,18,5,0.0,791
3,18,6,0.02,5564
3,18,7,0.06,13339
3,18,8,0.14,31216
3,18,9,0.18,40528
3,18,10,0.12,26687
3,18,11,0.12,27487
3,18,12,0.06,13501
3,18,13,0.07,16183
3,18,14,0.06,12500
3,18,15,0.04,8962
3,18,16,0.03,6100
3,18,17,0.02,5006
3,18,18,0.06,13594
3,18,19,0.11,25794
3,18,20,0.1,22940
3,18,21,0.05,11708
3,18,22,0.06,12445
3,18,23,0.05,12344
3,19,0,0.09,19574
3,19,1,0.05,10463
3,19,2,0.02,5284
3,19,3,0.02,4550
3,19,4,0.0,1105
3,19,5,0.0,969
3,19,6,0.03,5909
3,19,7,0.05,10491
3,19,8,0.15,33985
3,19,9,0.16,35450
3,19,10,0.15,33786
3,19,11,0.12,26850
3,19,12,0.08,18272
3,19,13,0.08,18949
3,19,14,0.07,15105
3,19,15,0.02,5321
3,19,16,0.04,8357
3,19,17,0.02,5524
3,19,18,0.09,19823
3,19,19,0.14,32310
3,19,20,0.07,16042
3,19,21,0.06,14138
3,19,22,0.03,6840
3,19,23,0.07,14909
3,20,0,0.06,14542
3,20,1,0.05,11296
3,20,2,0.04,8367
3,20,3,0.02,4251
3,20,4,0.01,1354
3,20,5,0.0,747
3,20,6,0.01,2737
3,20,7,0.04,10065
3,20,8,0.14,31290
3,20,9,0.24,53086
3,20,10,0.1,21787
3,20,11,0.1,21475
3,20,12,0.08,18782
3,20,13,0.07,16859
3,20,14,0.04,10053
3,20,15,0.05,10456
3,20,16,0.02,5556
3,20,17,0.04,9419
3,20,18,0.08,17907
3,20,19,0.11,25250
3,20,20,0.09,19652
3,20,21,0.07,15324
3,20,22,0.04,9245
3,20,23,0.06,14298
3,21,0,0.07,14736
3,21,1,0.06,13232
3,21,2,0.03,7186
3,21,3,0.01,2918
3,21,4,0.01,1850
3,21,5,0.0,722
3,21,6,0.03,6113
3,21,7,0.06,13769
3,21,8,0.11,24533
3,21,9,0.19,42046
3,21,10,0.09,19136
3,21,11,0.08,18108
3,21,12,0.06,13264
3,21,13,0.07,16319
3,21,14,0.08,18064
3,21,15,0.07,14727
3,21,16,0.03,7308
3,21,17,0.05,10637
3,21,18,0.04,8661
3,21,19,0.1,21789
3,21,20,0.08,17714
3,21,21,0.06,13310
3,21,22,0.04,9056
3,21,23,0.06,13896
3,22,0,0.04,7959
3,22,1,0.05,11221
3,22,2,0.02,4612
3,22,3,0.01,3340
3,22,4,0.01,2393
3,22,5,0.0,607
3,22,6,0.01,1737
3,22,7,0.05,11703
3,22,8,0.14,32148
3,22,9,0.25,56327
3,22,10,0.1,21825
3,22,11,0.13,28339
3,22,12,0.07,16707
3,22,13,0.07,15338
3,22,14,0.09,20937
3,22,15,0.03,5901
3,22,16,0.03,6702
3,22,17,0.05,10559
3,22,18,0.09,20033
3,22,19,0.11,25827
3,22,20,0.11,23757
3,22,21,0.06,14213
3,22,22,0.04,10089
3,22,23,0.06,14404
3,23,0,0.08,18204
3,23,1,0.04,8580
3,23,2,0.03,6896
3,23,3,0.01,3128
3,23,4,0.01,2019
3,23,5,0.0,778
3,23,6,0.01,2632
3,23,7,0.07,16581
3,23,8,0.09,19501
3,23,9,0.14,31633
3,23,10,0.12,26819
3,23,11,0.15,33871
3,23,12,0.04,8812
3,23,13,0.12,28115
3,23,14,0.07,15932
3,23,15,0.04,9981
3,23,16,0.03,6216
3,23,17,0.05,10128
3,23,18,0.08,17808
3,23,19,0.13,29275
3,23,20,0.11,25122
3,23,21,0.07,16109
3,23,22,0.04,8987
3,23,23,0.07,15160
3,24,0,0.07,14988
3,24,1,0.05,12133
3,24,2,0.03,7237
3,24,3,0.0,835
3,24,4,0.01,1834
3,24,5,0.0,826
3,24,6,0.02,4705
3,24,7,0.05,11380
3,24,8,0.14,32294
3,24,9,0.21,46771
3,24,10,0.11,25423
3,24,11,0.12,27774
3,24,12,0.06,14314
3,24,13,0.05,10321
3,24,14,0.05,10630
3,24,15,0.05,11492
3,24,16,0.03,7804
3,24,17,0.05,10666
3,24,18,0.08,18612
3,24,19,0.13,28462
3,24,20,0.08,18521
3,24,21,0.08,17457
3,24,22,0.05,11345
3,24,23,0.08,18727
3,25,0,0.09,20439
3,25,1,0.05,11127
3,25,2,0.03,6856
3,25,3,0.02,3994
3,25,4,0.01,1565
3,25,5,0.0,614
3,25,6,0.02,4534
3,25,7,0.05,10257
3,25,8,0.09,20954
3,25,9,0.16,36448
3,25,10,0.11,25269
3,25,11,0.1,23268
3,25,12,0.04,9956
3,25,13,0.07,16596
3,25,14,0.06,12608
3,25,15,0.03,7522
3,25,16,0.03,7341
3,25,17,0.05,11669
3,25,18,0.04,9424
3,25,19,0.09,20402
3,25,20,0.08,17817
3,25,21,0.05,12053
3,25,22,0.05,11414
3,25,23,0.07,14992
3,26,0,0.07,14714
3,26,1,0.02,4718
3,26,2,0.03,7303
3,26,3,0.01,2175
3,26,4,0.01,1599
3,26,5,0.0,842
3,26,6,0.03,6335
3,26,7,0.04,8480
3,26,8,0.03,6179
3,26,9,0.18,39552
3,26,10,0.2,45696
3,26,11,0.15,33017
3,26,12,0.09,19898
3,26,13,0.06,13819
3,26,14,0.07,15148
3,26,15,0.03,7153
3,26,16,0.03,7053
3,26,17,0.05,10648
3,26,18,0.09,19932
3,26,19,0.19,42601
3,26,20,0.11,24222
3,26,21,0.06,13751
3,26,22,0.04,9393
3,26,23,0.04,8787
3,27,0,0.06,13019
3,27,1,0.04,8486
3,27,2,0.02,5477
3,27,3,0.01,3271
3,27,4,0.01,1252
3,27,5,0.0,1009
3,27,6,0.02,4727
3,27,7,0.06,12575
3,27,8,0.1,23143
3,27,9,0.17,39281
3,27,10,0.17,38011
3,27,11,0.09,19744
3,27,12,0.07,15796
3,27,13,0.06,14559
3,27,14,0.04,8364
3,27,15,0.03,7517
3,27,16,0.02,5552
3,27,17,0.05,11520
3,27,18,0.07,16790
3,27,19,0.12,26429
3,27,20,0.12,26750
3,27,21,0.07,15215
3,27,22,0.05,10376
3,27,23,0.07,15349
3,28,0,0.07,16801
3,28,1,0.04,8076
3,28,2,0.01,2460
3,28,3,0.01,3045
3,28,4,0.01,2136
3,28,5,0.0,970
3,28,6,0.03,5868
3,28,7,0.07,16500
3,28,8,0.11,25768
3,28,9,0.18,39679
3,28,10,0.12,26646
3,28,11,0.1,23217
3,28,12,0.1,21817
3,28,13,0.09,20498
3,28,14,0.05,12165
3,28,15,0.04,8389
3,28,16,0.03,6303
3,28,17,0.05,10874
3,28,18,0.04,10068
3,28,19,0.05,10738
3,28,20,0.08,19022
3,28,21,0.05,10947
3,28,22,0.04,8253
3,28,23,0.07,15174
3,29,0,0.06,13970
3,29,1,0.06,12886
3,29,2,0.03,6817
3,29,3,0.02,3388
3,29,4,0.01,1821
3,29,5,0.0,563
3,29,6,0.03,5955
3,29,7,0.05,12366
3,29,8,0.13,29435
3,29,9,0.12,27681
3,29,10,0.09,19271
3,29,11,0.13,30364
3,29,12,0.09,20686
3,29,13,0.05,12203
3,29,14,0.04,9864
3,29,15,0.05,12113
3,29,16,0.02,4428
3,29,17,0.06,13336
3,29,18,0.05,12208
3,29,19,0.13,29232
3,29,20,0.09,20246
3,29,21,0.08,18132
3,29,22,0.04,8167
3,29,23,0.07,15114
3,30,0,0.07,15917
3,30,1,0.03,7085
3,30,2,0.03,7470
3,30,3,0.01,2747
3,30,4,0.01,1486
3,30,5,0.0,592
3,30,6,0.01,1699
3,30,7,0.05,12003
3,30,8,0.18,40414
3,30,9,0.2,45231
3,30,10,0.14,31360
3,30,11,0.1,23552
3,30,12,0.08,19013
3,30,13,0.08,17911
3,30,14,0.04,8884
3,30,15,0.05,12087
3,30,16,0.03,7429
3,30,17,0.05,11151
3,30,18,0.08,17483
3,30,19,0.11,25333
3,30,20,0.11,25768
3,30,21,0.08,18087
3,30,22,0.04,8617
3,30,23,0.06,13496
3,31,0,0.07,16157
3,31,1,0.06,13114
3,31,2,0.02,4350
3,31,3,0.01,1995
3,31,4,0.01,1640
3,31,5,0.0,798
3,31,6,0.02,4932
3,31,7,0.06,13373
3,31,8,0.11,23802
3,31,9,0.23,51898
3,31,10,0.08,18900
3,31,11,0.09,19988
3,31,12,0.08,18419
3,31,13,0.04,9283
3,31,14,0.05,12050
3,31,15,0.06,13380
